iterations	round	a	b	c	num	cur	d	e	f	g	h	i	j	k	l	m	n
1	1	121.7902	88.8723	7.1777	1.0019	0.7272	122.2847	1.3749	0.9243	1.1328	1.1815	1.2001	1.0009	0.8907	13.6388	0.4507	1.409
1	2	5.5068	3.2521	11.4248	1.0	0.834	4.6437	0.7271	0.8882	0.9225	1.2021	0.8001	0.9562	0.7695	14.1162	0.9266	1.2228
1	3	6.4388	4.3338	8.5486	0.7499	0.8995	5.8717	0.6661	0.7017	0.847	1.0918	0.7641	0.8178	0.8992	12.7947	0.2102	0.6395
1	4	5.5992	4.2512	6.3248	0.9299	0.7137	4.2321	0.7504	0.8879	0.9162	0.6262	0.8768	0.6282	0.8882	13.5017	1.0832	1.3673
1	5	5.6143	3.778	10.4325	0.8319	0.8992	4.6831	0.7504	0.6666	0.8576	1.0	1.002	0.8405	0.9015	13.5041	0.7854	1.3
1	6	4.8983	4.0382	8.6335	0.834	0.7272	5.1515	0.8188	1.1121	0.8561	1.0	0.8137	0.792	0.8992	13.3809	1.1542	0.959
1	7	4.3024	3.7187	8.5281	0.8466	0.9066	1.5651	0.7984	0.8745	0.7855	0.8009	0.9243	0.875	0.9015	12.7607	0.8545	2.3803
1	8	4.949	3.897	6.2255	1.0	1.1092	4.667	0.8766	0.718	1.0	0.6143	0.7153	1.0	0.7507	13.1418	0.7383	1.9998
1	9	4.5307	5.0471	6.549	0.8319	0.8992	5.2787	0.8879	0.8769	1.2721	1.0773	0.8126	0.8208	1.0003	13.542	0.8702	1.2096
1	10	5.8351	4.4287	6.9337	1.0	0.8009	5.3577	1.1266	0.779	0.7873	0.6313	0.9328	0.6578	0.8009	12.3996	1.1557	1.0387
5	1	4.2766	4.5854	9.3761	0.9991	0.9306	4.7771	0.9194	0.8888	0.8283	0.8073	0.9648	0.7996	0.9421	13.1603	0.5264	0.3854
5	2	5.409	4.0974	6.7138	0.9567	0.9776	6.1238	0.8893	0.9987	1.056	1.1664	1.1085	0.973	0.9382	12.9816	0.8659	0.3234
5	3	5.6292	3.8268	10.4779	0.8943	0.895	5.7945	1.0006	1.0871	0.8474	0.9993	1.1286	0.6616	0.9553	13.2206	1.034	0.5763
5	4	6.1185	4.4362	7.3309	0.712	1.1153	4.9749	1.091	0.8613	0.882	0.7871	1.0306	0.781	0.9133	13.0485	0.9387	0.4166
5	5	5.9303	4.3274	4.6509	1.057	1.3861	5.9991	1.0733	0.9996	0.9997	0.8442	1.028	0.7998	1.0563	13.2351	1.0352	0.4063
5	6	5.238	4.2574	8.1458	0.9141	0.8242	4.6559	0.9803	1.0304	0.7212	0.925	0.8681	0.4896	1.1436	13.2791	1.0365	0.3485
5	7	5.4764	4.6609	9.2958	1.0	0.7554	5.172	0.8	1.1327	0.9694	1.0864	0.9479	0.8534	0.9224	13.3762	1.0348	0.3357
5	8	5.3606	4.8648	7.9477	1.124	1.1536	4.6742	1.1099	1.0834	0.8977	1.1674	0.868	0.7698	0.9152	13.3682	1.1177	0.3211
5	9	6.8692	3.6164	10.5729	1.0491	0.765	5.3338	1.0007	1.0496	1.0007	0.9272	1.1918	0.8134	0.9995	13.2203	1.0685	0.3242
5	10	5.326	4.0335	9.1655	1.0917	1.0252	5.1201	0.8805	1.0286	0.9692	0.8404	0.7776	0.731	1.1111	13.3895	1.3243	0.352
10	1	5.5522	3.6466	9.966	0.8359	0.942	6.0092	0.9099	0.9831	0.9997	1.0003	0.935	0.8836	1.1754	12.8668	0.3526	1.0908
10	2	6.711	4.2705	10.2222	0.8629	1.214	3.8142	1.067	0.0483	1.3866	0.9824	0.9112	0.9915	0.917	13.5425	0.319	1.0331
10	3	5.0044	3.694	10.7339	1.0152	1.0162	4.4514	0.8511	0.904	1.1631	0.9213	0.9207	0.5664	1.1259	13.6523	0.3401	1.0639
10	4	4.0405	4.1952	3.2744	1.2651	0.8845	5.1563	0.9626	0.9791	0.85	0.9823	0.8761	0.76	1.1035	13.6466	0.4215	1.0001
10	5	6.0521	4.1334	8.1038	0.844	0.929	4.8062	0.9286	1.1098	0.9353	1.0008	1.0163	1.0728	1.1479	13.3173	0.3103	1.199
10	6	5.4341	3.9009	8.1114	1.0496	1.0652	4.7586	0.8715	0.9822	1.1863	1.2985	1.0744	0.8603	1.0135	13.2659	0.3117	1.3793
10	7	5.4796	4.2109	8.8658	0.8235	1.1155	4.8465	1.0009	0.9977	0.8842	1.0003	0.8491	1.0523	0.838	13.3071	0.3063	1.0521
10	8	5.2855	3.295	10.1497	0.912	1.0386	4.762	0.982	1.0421	0.8143	0.8385	0.851	0.7499	0.9691	13.2702	0.5598	1.28
10	9	4.2372	3.1039	10.5083	0.8645	1.2176	4.8315	1.1067	0.9381	0.9136	1.0738	0.9308	0.6132	1.0427	12.8913	0.3529	1.1376
